category,ym,cart,favorite,impression,order_behavior,payment,review,share,click,gmv,order_count,item_count,ctr,cvr,payment_rate,favorite_rate,review_rate,share_rate,arpu
运动户外,2025-10,30,23,41,23,20,13,10,0,45638.79,45,46,0.7317073170731707,0.7666666666666667,0.8695652173913043,0.5609756097560976,0.65,0.24390243902439024,1014.1953333333333
运动户外,2025-11,18,14,30,13,14,16,8,0,69849.78,53,57,0.6,0.7222222222222222,1.0769230769230769,0.4666666666666667,1.1428571428571428,0.26666666666666666,1317.9203773584904
运动户外,2025-12,22,18,30,16,14,5,8,0,53963.02,49,57,0.7333333333333333,0.7272727272727273,0.875,0.6,0.35714285714285715,0.26666666666666666,1101.2861224489795
运动户外,2026-01,17,21,22,13,12,8,13,0,52648.88,42,47,0.7727272727272727,0.7647058823529411,0.9230769230769231,0.9545454545454546,0.6666666666666666,0.5909090909090909,1253.5447619047618
运动户外,2026-02,29,20,40,18,16,13,11,0,43444.17,51,55,0.725,0.6206896551724138,0.8888888888888888,0.5,0.8125,0.275,851.8464705882352
运动户外,2026-03,12,16,29,12,8,13,12,0,58086.54,58,60,0.41379310344827586,1.0,0.6666666666666666,0.5517241379310345,1.625,0.41379310344827586,1001.4920689655172
运动户外,2026-04,16,16,22,14,5,10,5,0,72583.0,62,70,0.7272727272727273,0.875,0.35714285714285715,0.7272727272727273,2.0,0.22727272727272727,1170.6935483870968
运动户外,2026-05,36,15,35,15,13,10,7,0,47404.38,42,45,1.0285714285714285,0.4166666666666667,0.8666666666666667,0.42857142857142855,0.7692307692307693,0.2,1128.6757142857143
运动户外,2026-06,32,26,32,13,8,16,8,0,61169.93,58,64,1.0,0.40625,0.6153846153846154,0.8125,2.0,0.25,1054.6539655172414
运动户外,2026-07,21,21,27,12,15,12,10,0,54821.83,54,62,0.7777777777777778,0.5714285714285714,1.25,0.7777777777777778,0.8,0.37037037037037035,1015.2190740740741
运动户外,2026-08,17,18,29,16,13,16,8,0,49124.01,44,49,0.5862068965517241,0.9411764705882353,0.8125,0.6206896551724138,1.2307692307692308,0.27586206896551724,1116.4547727272727
运动户外,2026-09,21,19,25,12,11,11,4,0,71336.88,63,71,0.84,0.5714285714285714,0.9166666666666666,0.76,1.0,0.16,1132.3314285714287
运动户外,2026-10,21,19,27,19,7,8,8,0,58641.12,51,56,0.7777777777777778,0.9047619047619048,0.3684210526315789,0.7037037037037037,1.1428571428571428,0.2962962962962963,1149.8258823529413
运动户外,2026-11,24,16,32,17,12,9,9,0,65616.1,50,57,0.75,0.7083333333333334,0.7058823529411765,0.5,0.75,0.28125,1312.3220000000001
运动户外,2026-12,23,22,26,12,20,12,3,0,57097.08,46,53,0.8846153846153846,0.5217391304347826,1.6666666666666667,0.8461538461538461,0.6,0.11538461538461539,1241.2408695652175
食品饮料,2025-01,29,21,32,27,11,19,15,0,60661.47,50,55,0.90625,0.9310344827586207,0.4074074074074074,0.65625,1.7272727272727273,0.46875,1213.2294
食品饮料,2025-02,25,22,37,17,22,11,8,0,80801.7,64,73,0.6756756756756757,0.68,1.2941176470588236,0.5945945945945946,0.5,0.21621621621621623,1262.5265625
食品饮料,2025-03,28,21,32,20,18,18,7,0,61574.59,51,60,0.875,0.7142857142857143,0.9,0.65625,1.0,0.21875,1207.3449019607842
食品饮料,2025-04,31,27,25,18,17,17,6,0,68041.06,60,67,1.24,0.5806451612903226,0.9444444444444444,1.08,1.0,0.24,1134.0176666666666
食品饮料,2025-05,19,17,27,18,10,17,11,0,67599.64,59,63,0.7037037037037037,0.9473684210526315,0.5555555555555556,0.6296296296296297,1.7,0.4074074074074074,1145.7566101694915
食品饮料,2025-06,26,30,31,17,17,10,8,0,58134.02,57,62,0.8387096774193549,0.6538461538461539,1.0,0.967741935483871,0.5882352941176471,0.25806451612903225,1019.8950877192982
食品饮料,2025-07,23,22,39,23,15,10,13,0,71191.02,63,74,0.5897435897435898,1.0,0.6521739130434783,0.5641025641025641,0.6666666666666666,0.3333333333333333,1130.0161904761906
食品饮料,2025-08,23,14,22,18,13,16,12,0,57159.69,51,54,1.0454545454545454,0.782608695652174,0.7222222222222222,0.6363636363636364,1.2307692307692308,0.5454545454545454,1120.7782352941176
食品饮料,2025-09,25,21,51,13,15,15,11,0,58282.9,54,63,0.49019607843137253,0.52,1.1538461538461537,0.4117647058823529,1.0,0.21568627450980393,1079.312962962963
食品饮料,2025-10,22,17,28,10,13,13,16,0,68884.5,54,59,0.7857142857142857,0.45454545454545453,1.3,0.6071428571428571,1.0,0.5714285714285714,1275.638888888889
食品饮料,2025-11,26,21,23,22,16,18,13,0,74388.47,59,71,1.1304347826086956,0.8461538461538461,0.7272727272727273,0.9130434782608695,1.125,0.5652173913043478,1260.8215254237289
食品饮料,2025-12,19,20,26,8,13,6,9,0,64543.54,58,65,0.7307692307692307,0.42105263157894735,1.625,0.7692307692307693,0.46153846153846156,0.34615384615384615,1112.8196551724138
食品饮料,2026-01,25,12,34,19,13,14,15,0,62891.33,63,69,0.7352941176470589,0.76,0.6842105263157895,0.35294117647058826,1.0769230769230769,0.4411764705882353,998.2750793650794
食品饮料,2026-02,19,21,29,17,15,12,11,0,42839.12,42,48,0.6551724137931034,0.8947368421052632,0.8823529411764706,0.7241379310344828,0.8,0.3793103448275862,1019.9790476190477
食品饮料,2026-03,24,14,33,14,13,16,15,0,41681.54,53,55,0.7272727272727273,0.5833333333333334,0.9285714285714286,0.42424242424242425,1.2307692307692308,0.45454545454545453,786.4441509433963
食品饮料,2026-04,19,20,24,17,11,12,12,0,64762.86,58,67,0.7916666666666666,0.8947368421052632,0.6470588235294118,0.8333333333333334,1.0909090909090908,0.5,1116.6010344827587
食品饮料,2026-05,25,13,27,11,10,11,12,0,54906.35,51,56,0.9259259259259259,0.44,0.9090909090909091,0.48148148148148145,1.1,0.4444444444444444,1076.5950980392156
食品饮料,2026-06,21,17,33,17,9,14,7,0,57130.7,60,66,0.6363636363636364,0.8095238095238095,0.5294117647058824,0.5151515151515151,1.5555555555555556,0.21212121212121213,952.1783333333333
食品饮料,2026-07,17,16,31,13,11,11,14,0,94492.82,71,76,0.5483870967741935,0.7647058823529411,0.8461538461538461,0.5161290322580645,1.0,0.45161290322580644,1330.8847887323946
食品饮料,2026-08,23,14,30,14,12,11,17,0,74968.46,65,74,0.7666666666666667,0.6086956521739131,0.8571428571428571,0.4666666666666667,0.9166666666666666,0.5666666666666667,1153.3609230769232
食品饮料,2026-09,29,22,33,18,18,22,12,0,70125.66,56,66,0.8787878787878788,0.6206896551724138,1.0,0.6666666666666666,1.2222222222222223,0.36363636363636365,1252.2439285714286
食品饮料,2026-10,25,19,30,19,18,12,17,0,70413.52,69,75,0.8333333333333334,0.76,0.9473684210526315,0.6333333333333333,0.6666666666666666,0.5666666666666667,1020.4857971014493
食品饮料,2026-11,21,15,26,16,15,14,15,0,69000.08,57,65,0.8076923076923077,0.7619047619047619,0.9375,0.5769230769230769,0.9333333333333333,0.5769230769230769,1210.5277192982458
食品饮料,2026-12,20,13,27,8,11,14,9,0,59055.18,47,55,0.7407407407407407,0.4,1.375,0.48148148148148145,1.2727272727272727,0.3333333333333333,1256.4931914893616
